date,band,label,supply,cost_basis,profit_percent,supply_percent,supply_usd,realized_cap_usd,realized_cap_percent,utxo_count
2026-03-02,range_1m_3m,1-3m,1829867.39372839,89925.87126873,68.90835644,9.15068564,125870362738.38739,164552419687.2738,15.08374861,14950861
2026-03-02,range_3m_6m,3-6m,2734798.04144913,100358.16467473,68.90835644,13.67600585,188117468333.07855,274459312195.8895,25.15839802,23524842
2026-03-02,range_6m_12m,6-12m,2177231.8736758,105665.14401761,68.90835644,10.88776406,149764385465.5346,230057519491.6796,21.08829392,35589376
2026-03-01,range_10y_inf,>10y,3437680.6581784,103.64605696,59.82195256,17.19130235,226177155245.5292,356302045.305286,0.0326581,14294642
2026-03-01,range_7y_10y,7-10y,1701371.74417764,5759.14154114,59.82195256,8.50829352,111939257707.87897,9798440688.813347,0.89811019,30756101
2026-03-01,range_5y_7y,5-7y,1146579.51190398,16404.84700538,59.82195256,5.73386449,75437516759.53128,18809461472.28535,1.72404666,44498340
2026-03-01,range_2y_3y,2-3y,1029922.2926993,33912.26729445,59.82195256,5.15048002,67762226177.843,34927000082.534805,3.20135577,42251693
2026-03-01,range_3y_5y,3-5y,2219979.99766315,36224.15547934,59.82195256,11.10177214,146060326859.88098,80416900596.37546,7.37089094,18715207
2026-03-01,range_18m_2y,1.5-2y,929254.27488985,64293.64433555,59.82195256,4.64705503,61138921643.089424,59745143847.05358,5.47614912,72663129
2026-03-01,range_1d_1w,1d-1w,401411.0323072,65775.37503029,59.82195256,2.00739368,26410249932.733025,26402961191.302097,2.42005531,2474013
2026-03-01,range_0d_1d,<1d,110124.78206425,66278.70841502,59.82195256,0.55071678,7245498464.224522,7298928319.704101,0.66900868,626752
2026-03-01,range_1w_1m,1w-1m,898701.80448454,70013.17057428,59.82195256,4.49426691,59128766678.41684,62920962732.79245,5.76723986,7854830
2026-03-01,range_12m_18m,1-1.5y,1398708.88852863,87664.77603196,59.82195256,6.994724,92025999178.08424,122617501446.77028,11.23893391,48616560
2026-03-01,range_1m_3m,1-3m,1819574.80398824,90088.35669482,59.82195256,9.0994085,119716254604.22395,163922503974.59915,15.02488769,14933486
2026-03-01,range_3m_6m,3-6m,2736959.05026571,100492.34195678,59.82195256,13.68710338,180074205130.1027,275043424801.0065,25.21006248,23512595
2026-03-01,range_6m_12m,6-12m,2166358.45382007,105590.55267839,59.82195256,10.8336192,142532376054.60526,228746986438.36948,20.96660128,35494102
2026-02-28,range_10y_inf,>10y,3436608.62488786,103.54677501,62.6829085,17.18634147,229827084553.30963,355849740.065498,0.03261323,14267112
2026-02-28,range_7y_10y,7-10y,1702092.3440153,5756.32903274,62.6829085,8.51209533,113829348571.3143,9797803576.260838,0.89795771,30621806
2026-02-28,range_5y_7y,5-7y,1145803.20065204,16361.05879668,62.6829085,5.73011571,76626883599.90428,18746553535.29405,1.71810061,44631360
2026-02-28,range_2y_3y,2-3y,1027448.34322761,33794.53505447,62.6829085,5.13822783,68711768789.45159,34722139051.86396,3.18224511,42122979
2026-02-28,range_3y_5y,3-5y,2220557.05288363,36237.67753836,62.6829085,11.10491648,148502261750.91064,80467830437.91862,7.37478642,18714684
2026-02-28,range_18m_2y,1.5-2y,927036.00478651,64319.84052122,62.6829085,4.63606976,61996580207.90304,59626807985.299805,5.46473009,72182656
2026-02-28,range_0d_1d,<1d,96488.6565885,65640.93829342,62.6829085,0.48253589,6452787924.584826,6333605953.140603,0.58046788,566619
2026-02-28,range_1d_1w,1d-1w,398570.32201379,65950.05154503,62.6829085,1.99323414,26654840599.107277,26285733281.13002,2.40905798,2574180
2026-02-28,range_1w_1m,1w-1m,959031.76989563,70707.54818771,62.6829085,4.7960793,64136333149.16836,67810785083.43682,6.21478241,7668201
2026-02-28,range_12m_18m,1-1.5y,1402350.21332789,87542.21219292,62.6829085,7.013097,93783754925.65077,122764839943.94063,11.25125991,49200263
2026-02-28,range_1m_3m,1-3m,1791865.446421,90219.1482961,62.6829085,8.961047,119833026222.52808,161660574437.32208,14.81601036,14955133
2026-02-28,range_3m_6m,3-6m,2740616.5877863,100687.67040742,62.6829085,13.70571329,183281830723.42667,275946299704.142,25.29016892,23694056
2026-02-28,range_6m_12m,6-12m,2147693.1034849,105509.48914949,62.6829085,10.7405268,143629402811.40994,226602002198.5659,20.76781939,35205182
2026-02-27,range_10y_inf,>10y,3435271.82817884,103.41420944,60.09426151,17.18004014,226408847400.94223,355255920.3371943,0.0325538,14251402
2026-02-27,range_7y_10y,7-10y,1702976.5162809,5752.62559144,60.09426151,8.51670737,112238265117.56258,9796586289.177244,0.89770821,30511933
2026-02-27,range_5y_7y,5-7y,1144408.16200573,16296.76387942,60.09426151,5.72326708,75424637663.47958,18650149597.892784,1.7090027,44731615
2026-02-27,range_2y_3y,2-3y,1022819.41570109,33544.05238908,60.09426151,5.11519306,67411074462.46993,34309508064.84662,3.14394486,42045027
2026-02-27,range_3y_5y,3-5y,2219937.09557506,36265.07751612,60.09426151,11.10206421,146309644258.3986,80506190851.93958,7.37716858,18700404
2026-02-27,range_18m_2y,1.5-2y,933104.95039064,64316.25752813,60.09426151,4.6665246,61498253089.932724,60013818290.09972,5.49935415,71804745
2026-02-27,range_1d_1w,1d-1w,326385.68896895,65933.19961576,60.09426151,1.63227818,21511138373.814693,21519652782.517838,1.97194905,2518276
2026-02-27,range_0d_1d,<1d,169329.69146544,66214.60575086,60.09426151,0.8468299,11160031052.265123,11212098762.29857,1.02741841,569025
2026-02-27,range_1w_1m,1w-1m,967663.82249693,70986.83297747,60.09426151,4.83935599,63775928567.279076,68691390145.93344,6.2945217,7735487
2026-02-27,range_12m_18m,1-1.5y,1392317.20916529,87568.05364972,60.09426151,6.96307796,91763607164.30586,121922508069.6162,11.17234446,49611867
2026-02-27,range_1m_3m,1-3m,1784689.43460539,90262.38415713,60.09426151,8.92535952,117623727631.43384,161090323347.53055,14.76147932,15047238
2026-02-27,range_3m_6m,3-6m,2762529.89930533,100793.46836056,60.09426151,13.81560963,182070369302.89737,278444970000.7203,25.51524873,23709057
2026-02-27,range_6m_12m,6-12m,2134281.08083137,105316.97533875,60.09426151,10.67369235,140664303644.59396,224776027955.86838,20.59730603,34994149
2026-02-26,range_10y_inf,>10y,3434651.67461659,103.35158434,64.45671221,17.17731723,231505060318.0511,354976692.2141047,0.03250899,14238286
2026-02-26,range_7y_10y,7-10y,1703472.64184349,5751.81302803,64.45671221,8.51937627,114818786316.70842,9798056134.246769,0.89731231,30409965
2026-02-26,range_5y_7y,5-7y,1143294.3569103,16241.23541069,64.45671221,5.71782286,77061214391.5154,18568512794.28885,1.7005164,44819776
2026-02-26,range_2y_3y,2-3y,1000019.78994481,32852.30531767,64.45671221,5.00128071,67404110728.71354,32852955462.976723,3.00869489,41956815
2026-02-26,range_3y_5y,3-5y,2220800.75530861,36280.217382,64.45671221,11.10662818,149688137697.24847,80571134164.70798,7.37875653,18702328
2026-02-26,range_18m_2y,1.5-2y,955980.55713207,64232.48553469,64.45671221,4.7810325,64435744147.60683,61405007307.42614,5.62351025,71371406
2026-02-26,range_1d_1w,1d-1w,355597.2937922,65950.26895658,64.45671221,1.77840669,23968245035.353886,23451737165.827343,2.14772524,2480502
2026-02-26,range_0d_1d,<1d,169172.72831174,67593.65102655,64.45671221,0.84606356,11402711652.36881,11435002360.712753,1.0472249,578080
2026-02-26,range_1w_1m,1w-1m,934459.66320712,71492.28702699,64.45671221,4.6734026,62985176137.16947,66806658457.143425,6.11819695,7634152
2026-02-26,range_12m_18m,1-1.5y,1383848.93139614,87550.02385315,64.45671221,6.92088,93275260691.3761,121156006952.8828,11.0955454,50089918
2026-02-26,range_1m_3m,1-3m,1781818.98815297,90271.66870881,64.45671221,8.91120058,120099547612.56815,160847773397.61447,14.73054302,15128482
2026-02-26,range_3m_6m,3-6m,2765772.91322781,100832.24947986,64.45671221,13.83213298,186420774436.84637,278879104391.22363,25.53992858,23823160
2026-02-26,range_6m_12m,6-12m,2146383.87612711,105203.38186199,64.45671221,10.73445584,144672233397.2826,225806842542.61917,20.67953654,34786789
2026-02-25,range_10y_inf,>10y,3433883.74659432,103.27015431,66.6280105,17.17385245,233390402102.70197,354617704.3814031,0.03247207,14225582
2026-02-25,range_7y_10y,7-10y,1665377.75036338,5797.50744469,66.6280105,8.32903903,113190547931.53474,9655039905.953611,0.88410468,30295867
2026-02-25,range_5y_7y,5-7y,1181553.56286659,15767.87950901,66.6280105,5.9092934,80306522146.18852,18630594212.725643,1.70598937,44913046
2026-02-25,range_2y_3y,2-3y,999385.0015361,32758.01289019,66.6280105,4.99821538,67925091405.686325,32737866762.585327,2.99778161,41850093
2026-02-25,range_3y_5y,3-5y,2221906.30861925,36301.4112659,66.6280105,11.11240039,151016063755.06723,80658334703.48686,7.38582249,18717110
2026-02-25,range_18m_2y,1.5-2y,957389.23993153,64220.16502607,66.6280105,4.78818235,65070770056.79945,61483694982.5876,5.63001528,71149199
2026-02-25,range_1d_1w,1d-1w,332157.43225936,65510.12738877,66.6280105,1.66121603,22575707973.019955,21759675700.43902,1.99251699,2501282
2026-02-25,range_0d_1d,<1d,188376.67726623,67639.86996406,66.6280105,0.94212661,12803377079.244614,12741773954.54891,1.16675457,645462
2026-02-25,range_1w_1m,1w-1m,934138.88860576,71814.19212115,66.6280105,4.67190057,63490515963.94253,67084429614.17512,6.1428703,7475140
2026-02-25,range_12m_18m,1-1.5y,1382585.67044979,87497.4966487,66.6280105,6.9147135,93970049477.57541,120972785066.72072,11.07738611,50308758
2026-02-25,range_1m_3m,1-3m,1790633.69835335,90296.07777709,66.6280105,8.9554805,121703805288.0564,161687199696.78534,14.80557416,15258815
2026-02-25,range_3m_6m,3-6m,2776275.25830091,100951.60699562,66.6280105,13.88496092,188694797698.165,280269448787.64374,25.6640607,23966553
2026-02-25,range_6m_12m,6-12m,2131173.43482439,105122.5139964,66.6280105,10.65861887,144849232417.2509,224034309231.0879,20.51465166,34501757
2026-02-24,range_10y_inf,>10y,3433554.13676069,103.22856823,56.56537814,17.17262266,220002678315.7328,354440877.4775264,0.03245051,14216042
2026-02-24,range_7y_10y,7-10y,1665418.3408404,5797.01976662,56.56537814,8.32944512,106710563138.72498,9654463041.541971,0.88390563,30202568
2026-02-24,range_5y_7y,5-7y,1180357.49499502,15705.46309639,56.56537814,5.90345545,75630614787.3773,18538061078.19539,1.69723541,44985754
2026-02-24,range_2y_3y,2-3y,998928.96789213,32690.32839576,56.56537814,4.99605643,64005703603.314545,32655316004.428127,2.9897279,41750702
2026-02-24,range_3y_5y,3-5y,2223359.71869535,36319.44722783,56.56537814,11.11994044,142460282695.2262,80751195971.62761,7.39310267,18724502
2026-02-24,range_0d_1d,<1d,237013.60141397,63795.21178104,56.56537814,1.18540293,15186487537.815464,15120332897.19095,1.38432839,690087
2026-02-24,range_18m_2y,1.5-2y,959236.96127784,64193.60946823,56.56537814,4.79754031,61462464902.23266,61576882879.75931,5.63761579,70955823
2026-02-24,range_1d_1w,1d-1w,264627.42649403,66843.78414006,56.56537814,1.32351108,16955824858.323475,17688698574.107327,1.61947279,2426728
2026-02-24,range_1w_1m,1w-1m,958593.87010823,72555.05136494,56.56537814,4.79432395,61421259266.88221,69550827483.8161,6.36766307,7372181
2026-02-24,range_12m_18m,1-1.5y,1370510.58650081,87454.52323201,56.56537814,6.85448961,87814546583.70482,119857349926.85724,10.9734312,50503014
2026-02-24,range_1m_3m,1-3m,1797626.1091246,90346.33015122,56.56537814,8.99067078,115181687215.4551,162408921943.41635,14.86920187,15238713
2026-02-24,range_3m_6m,3-6m,2794378.92298256,101144.2782462,56.56537814,13.97584337,179047955208.64798,282635439311.47125,25.87643187,24146507
2026-02-24,range_6m_12m,6-12m,2110743.03288533,104919.68957838,56.56537814,10.55669787,135244444087.64853,221458503790.05066,20.2754329,34306825
2026-02-23,range_10y_inf,>10y,3433067.34741916,103.17862305,57.92283883,17.17063083,221823064025.77182,354219161.7584059,0.0323893,14201048
2026-02-23,range_7y_10y,7-10y,1665897.68956532,5796.10858143,57.92283883,8.33205741,107639755488.81506,9655723894.28196,0.88290589,30095416
2026-02-23,range_5y_7y,5-7y,1179542.21759392,15640.8793911,57.92283883,5.89953005,76214545878.66869,18449077562.099453,1.68695785,45075813
2026-02-23,range_2y_3y,2-3y,999757.46057535,32629.62895834,57.92283883,5.00032902,64597993789.479836,32621714986.905777,2.98288399,41615797
2026-02-23,range_3y_5y,3-5y,2224903.4045354,36339.01862916,57.92283883,11.12794802,143759163573.19153,80850806265.48828,7.39288464,18739382
2026-02-23,range_18m_2y,1.5-2y,957990.04664426,64188.48673741,57.92283883,4.79142754,61899248091.52779,61491931403.59976,5.6227362,70543919
2026-02-23,range_0d_1d,<1d,167070.78622855,65198.71994656,57.92283883,0.83561157,10795055837.827356,10892801402.566055,0.99602252,584612
2026-02-23,range_1d_1w,1d-1w,333185.47394384,67430.38919123,57.92283883,1.66644117,21528334646.4679,22466826180.897278,2.05433516,2605690
2026-02-23,range_1w_1m,1w-1m,933188.54401415,73024.82208068,57.92283883,4.66738178,60296732105.3529,68145927394.3591,6.23116828,7024139
2026-02-23,range_12m_18m,1-1.5y,1373141.38329614,87345.87231239,57.92283883,6.86782442,88723697544.79713,119938231932.24046,10.96698417,50980940
2026-02-23,range_1m_3m,1-3m,1822589.30501808,90351.81836374,57.92283883,9.11575712,117764175061.59412,164674257838.69318,15.0575838,15343869
2026-02-23,range_3m_6m,3-6m,2804317.90839679,101281.30890315,57.92283883,14.02591405,181197258309.12137,284024988342.98004,25.97084766,24251821
2026-02-23,range_6m_12m,6-12m,2099181.97774,104832.98894404,57.92283883,10.49914701,135635841399.97159,220063521063.95316,20.12230055,34072981
2026-02-22,range_10y_inf,>10y,3432628.77321332,103.13154423,65.21466556,17.16883444,232259929262.1795,354012306.1586177,0.03234206,14190874
2026-02-22,range_7y_10y,7-10y,1666911.19215069,5795.96745519,65.21466556,8.33731935,112787225521.28267,9661363020.391745,0.88264832,29995836
2026-02-22,range_5y_7y,5-7y,1175671.14781266,15503.02400762,65.21466556,5.88030475,79548741115.67218,18226458029.610256,1.66514316,45150089
2026-02-22,range_2y_3y,2-3y,1000394.47848205,32571.58152868,65.21466556,5.00363083,67689099566.97973,32584430316.716137,2.976867,41525994
2026-02-22,range_3y_5y,3-5y,2228582.17433981,36373.58494277,65.21466556,11.14660539,150791236793.8867,81061523020.29376,7.40566492,18759149
2026-02-22,range_18m_2y,1.5-2y,954882.35184015,64175.45697405,65.21466556,4.77599475,64609639475.95341,61280011285.80195,5.59845427,70233217
2026-02-22,range_1d_1w,1d-1w,387433.16960576,67499.86284507,65.21466556,1.93780813,26214661273.20832,26151685810.0205,2.38918065,2625749
2026-02-22,range_0d_1d,<1d,100037.12516161,67673.99729207,65.21466556,0.50035147,6768752798.129454,6769912137.293023,0.6184895,626031
2026-02-22,range_1w_1m,1w-1m,926184.92157891,73315.14853144,65.21466556,4.63246003,62667902235.24313,67903385093.13649,6.20355624,6769025
2026-02-22,range_12m_18m,1-1.5y,1377072.48978827,87222.46568479,65.21466556,6.88764534,93176040929.03777,120111657986.0287,10.97322945,51252019
