Datetime,ETF Net Flow (USD mn)
2025-09-24T00:00:00Z,241.0
2025-09-23T00:00:00Z,-103.8
2025-09-22T00:00:00Z,-363.1
2025-09-19T00:00:00Z,222.6
2025-09-18T00:00:00Z,163.0
2025-09-17T00:00:00Z,-51.3
2025-09-16T00:00:00Z,292.3
2025-09-15T00:00:00Z,259.9
2025-09-12T00:00:00Z,642.4
2025-09-11T00:00:00Z,552.7
2025-09-10T00:00:00Z,741.5
2025-09-09T00:00:00Z,23.0
2025-09-08T00:00:00Z,364.3
2025-09-05T00:00:00Z,-160.1
2025-09-04T00:00:00Z,-222.9
2025-09-03T00:00:00Z,300.5
2025-09-02T00:00:00Z,332.8
2025-08-29T00:00:00Z,-126.7
2025-08-28T00:00:00Z,178.9
2025-08-27T00:00:00Z,81.4
2025-08-26T00:00:00Z,88.1
2025-08-25T00:00:00Z,219.1
2025-08-22T00:00:00Z,-23.2
2025-08-21T00:00:00Z,-194.4
2025-08-20T00:00:00Z,-315.9
2025-08-19T00:00:00Z,-523.3
2025-08-18T00:00:00Z,-121.7
2025-08-15T00:00:00Z,-14.1
2025-08-14T00:00:00Z,230.8
2025-08-13T00:00:00Z,86.9
2025-08-12T00:00:00Z,65.9
2025-08-11T00:00:00Z,178.1
2025-08-08T00:00:00Z,403.9
2025-08-07T00:00:00Z,277.4
2025-08-06T00:00:00Z,91.6
2025-08-05T00:00:00Z,-196.2
2025-08-04T00:00:00Z,-323.5
2025-08-01T00:00:00Z,-812.3
2025-07-31T00:00:00Z,-114.8
2025-07-30T00:00:00Z,47.1
2025-07-29T00:00:00Z,80.0
2025-07-28T00:00:00Z,157.1
2025-07-25T00:00:00Z,130.8
2025-07-24T00:00:00Z,226.7
2025-07-23T00:00:00Z,-85.8
2025-07-22T00:00:00Z,-68.0
2025-07-21T00:00:00Z,-131.4
2025-07-18T00:00:00Z,363.5
2025-07-17T00:00:00Z,522.6
2025-07-16T00:00:00Z,799.4
2025-07-15T00:00:00Z,403.1
2025-07-14T00:00:00Z,297.4
2025-07-11T00:00:00Z,1029.6
2025-07-10T00:00:00Z,1175.6
2025-07-09T00:00:00Z,215.7
2025-07-08T00:00:00Z,80.1
2025-07-07T00:00:00Z,216.5
2025-07-03T00:00:00Z,601.8
2025-07-02T00:00:00Z,407.8
2025-07-01T00:00:00Z,-342.2
2025-06-30T00:00:00Z,102.1
2025-06-27T00:00:00Z,501.2
2025-06-26T00:00:00Z,226.7
2025-06-25T00:00:00Z,547.7
2025-06-24T00:00:00Z,588.6
2025-06-23T00:00:00Z,350.6
2025-06-20T00:00:00Z,6.4
2025-06-19T00:00:00Z,0.0
2025-06-18T00:00:00Z,388.3
2025-06-17T00:00:00Z,216.5
2025-06-16T00:00:00Z,412.2
2025-06-13T00:00:00Z,322.7
2025-06-12T00:00:00Z,86.3
2025-06-11T00:00:00Z,164.6
2025-06-10T00:00:00Z,431.2
2025-06-09T00:00:00Z,386.2
2025-06-06T00:00:00Z,-47.8
2025-06-05T00:00:00Z,-278.4
2025-06-04T00:00:00Z,87.0
2025-06-03T00:00:00Z,375.1
2025-06-02T00:00:00Z,-267.5
2025-05-30T00:00:00Z,-616.1
2025-05-29T00:00:00Z,-346.8
2025-05-28T00:00:00Z,432.7
2025-05-27T00:00:00Z,385.4
2025-05-26T00:00:00Z,0.0
2025-05-23T00:00:00Z,211.7
2025-05-22T00:00:00Z,934.8
2025-05-21T00:00:00Z,607.1
2025-05-20T00:00:00Z,329.2
2025-05-19T00:00:00Z,667.4
2025-05-16T00:00:00Z,260.2
2025-05-15T00:00:00Z,114.9
2025-05-14T00:00:00Z,319.5
2025-05-13T00:00:00Z,-91.4
2025-05-12T00:00:00Z,5.2
2025-05-09T00:00:00Z,334.5
2025-05-08T00:00:00Z,117.4
2025-05-07T00:00:00Z,142.3
2025-05-06T00:00:00Z,-85.7
2025-05-05T00:00:00Z,425.5
2025-05-02T00:00:00Z,674.9
2025-05-01T00:00:00Z,422.5
2025-04-30T00:00:00Z,-56.3
2025-04-29T00:00:00Z,172.8
2025-04-28T00:00:00Z,591.2
2025-04-25T00:00:00Z,380.0
2025-04-24T00:00:00Z,442.0
2025-04-23T00:00:00Z,917.0
